locus_tag	ftype	length_bp	gene	EC_number	COG	product	GO ID	Type	Function
EAPLMMIH_00052	CDS	1206	tetA			Tetracycline resistance protein, class B	GO:0006811	RP	ion transport-
EAPLMMIH_00053	CDS	594	tetC			Transposon Tn10 TetC protein	GO:0010468	UP	regulation of gene expression-
EAPLMMIH_00054	CDS	417	tetD			Transposon Tn10 TetD protein	GO:0003700	UF	DNA-binding transcription factor activity-
EAPLMMIH_00055	CDS	1209			COG3385	IS4 family transposase ISVsa5			
EAPLMMIH_00056	CDS	576				hypothetical protein			
EAPLMMIH_00057	CDS	435	psiB			Protein PsiB			
EAPLMMIH_00058	CDS	720				hypothetical protein			
EAPLMMIH_00059	CDS	213	flmC			Protein FlmC			
EAPLMMIH_00060	CDS	297				hypothetical protein			
EAPLMMIH_00061	CDS	822				hypothetical protein			
EAPLMMIH_00062	CDS	510				hypothetical protein			
EAPLMMIH_00063	CDS	384	traM			Relaxosome protein TraM	GO:0000746	RP	conjugation
EAPLMMIH_00064	CDS	672	traJ			Protein TraJ	GO:0000746	RP	conjugation
EAPLMMIH_00065	CDS	360	traA			Pilin	GO:0000746	RP	conjugation
EAPLMMIH_00066	CDS	312				hypothetical protein			
EAPLMMIH_00067	CDS	567				hypothetical protein			
EAPLMMIH_00068	CDS	729				hypothetical protein			
EAPLMMIH_00069	CDS	1452				hypothetical protein			
EAPLMMIH_00070	CDS	567				hypothetical protein			
EAPLMMIH_00071	CDS	369				hypothetical protein			
EAPLMMIH_00072	CDS	516	traV			Protein TraV	GO:0000746	UP	conjugation
EAPLMMIH_00073	CDS	414				hypothetical protein			
EAPLMMIH_00074	CDS	474				hypothetical protein			
EAPLMMIH_00075	CDS	219				hypothetical protein			
EAPLMMIH_00076	CDS	348				hypothetical protein			
EAPLMMIH_00077	CDS	2631	traC			Protein TraC	GO:0000746	RP	conjugation
EAPLMMIH_00078	CDS	387				hypothetical protein			
EAPLMMIH_00079	CDS	633				hypothetical protein			
EAPLMMIH_00080	CDS	993				hypothetical protein			
EAPLMMIH_00081	CDS	306				hypothetical protein			
EAPLMMIH_00082	CDS	639				hypothetical protein			
EAPLMMIH_00083	CDS	1851	traN			Mating pair stabilization protein TraN	GO:0009116	UP	nucleoside metabolic process
EAPLMMIH_00084	CDS	258				hypothetical protein			
EAPLMMIH_00085	CDS	744				hypothetical protein			
EAPLMMIH_00086	CDS	345				hypothetical protein			
EAPLMMIH_00087	CDS	285	traQ			Protein TraQ	GO:0016021	UC	integral component of membrane-
EAPLMMIH_00088	CDS	546				hypothetical protein			
EAPLMMIH_00089	CDS	393				hypothetical protein			
EAPLMMIH_00090	CDS	1374				hypothetical protein			
EAPLMMIH_00091	CDS	2823				hypothetical protein			
EAPLMMIH_00092	CDS	480				hypothetical protein			
EAPLMMIH_00093	CDS	732	ylpA			Lipoprotein YlpA	GO:0046999	UP	regulation of conjugation
EAPLMMIH_00094	CDS	738				hypothetical protein			
EAPLMMIH_00095	CDS	2217	traD			Coupling protein TraD	GO:0000746	RP	conjugation
EAPLMMIH_00096	CDS	5271	traI			Multifunctional conjugation protein TraI	GO:0000746	RP	conjugation
EAPLMMIH_00097	CDS	747				hypothetical protein			
EAPLMMIH_00098	CDS	861	aidA			Quorum-quenching protein AidA	GO:0016787	UF	hydrolase activity-
EAPLMMIH_00099	CDS	225	finO_1			Fertility inhibition protein	GO:0000746	UP	conjugation
EAPLMMIH_00100	CDS	333	finO_2			Fertility inhibition protein	GO:0000746	UP	conjugation
EAPLMMIH_00101	CDS	462	yhcR	3.1.31.-	COG0737	Endonuclease YhcR	GO:0009166	UP	nucleotide catabolic process-
EAPLMMIH_00102	CDS	210	hha			Hemolysin expression-modulating protein Hha	GO:1900191	RP	negative regulation of single-species biofilm formation-
EAPLMMIH_00103	CDS	591				hypothetical protein			
EAPLMMIH_00104	CDS	255				hypothetical protein			
EAPLMMIH_00105	CDS	858				hypothetical protein			
EAPLMMIH_00106	CDS	654				hypothetical protein			
EAPLMMIH_00107	CDS	258	pemI			Antitoxin PemI	GO:0003677	UF	DNA binding-
EAPLMMIH_00108	CDS	333	pemK	3.1.-.-		Endoribonuclease PemK	GO:0003677	UF	DNA binding-
EAPLMMIH_00109	CDS	1311				hypothetical protein			
EAPLMMIH_00110	CDS	276			COG1662	IS1 family transposase IS1D			
EAPLMMIH_00111	CDS	378			COG1662	IS1 family transposase IS1R			
