locus_tag	ftype	length_bp	gene	EC_number	COG	product	GO ID	Type	Function
OIFEMJME_00073	CDS	942				ISNCY family transposase ISSen7			
OIFEMJME_00074	CDS	171				hypothetical protein			
OIFEMJME_00075	CDS	252				hypothetical protein			
OIFEMJME_00076	CDS	849				hypothetical protein			
OIFEMJME_00077	CDS	336				hypothetical protein			
OIFEMJME_00078	CDS	333				hypothetical protein			
OIFEMJME_00079	CDS	2700				hypothetical protein			
OIFEMJME_00080	CDS	2292				hypothetical protein			
OIFEMJME_00081	CDS	1071				hypothetical protein			
OIFEMJME_00082	CDS	1209				hypothetical protein			
OIFEMJME_00083	CDS	153	pndA			Protein PndA	GO:0016021	UC	integral component of membrane-
OIFEMJME_00084	CDS	252				hypothetical protein			
OIFEMJME_00085	CDS	177				hypothetical protein			
OIFEMJME_00086	CDS	210				hypothetical protein			
OIFEMJME_00087	CDS	663				hypothetical protein			
OIFEMJME_00088	CDS	2169				hypothetical protein			
OIFEMJME_00089	CDS	585				hypothetical protein			
OIFEMJME_00090	CDS	1203				hypothetical protein			
OIFEMJME_00091	CDS	615				hypothetical protein			
OIFEMJME_00092	CDS	3045				hypothetical protein			
OIFEMJME_00093	CDS	801				hypothetical protein			
OIFEMJME_00094	CDS	189				hypothetical protein			
OIFEMJME_00095	CDS	405				hypothetical protein			
OIFEMJME_00096	CDS	528				hypothetical protein			
OIFEMJME_00097	CDS	705				hypothetical protein			
OIFEMJME_00098	CDS	1290				hypothetical protein			
OIFEMJME_00099	CDS	984				hypothetical protein			
OIFEMJME_00100	CDS	693				hypothetical protein			
OIFEMJME_00101	CDS	348				hypothetical protein			
OIFEMJME_00102	CDS	3768				hypothetical protein			
OIFEMJME_00103	CDS	552	pld	3.1.4.4		Phospholipase D	GO:0016042	RP	lipid catabolic process-
OIFEMJME_00104	CDS	291				hypothetical protein			
OIFEMJME_00105	CDS	1149	yggR		COG2805	putative protein YggR	GO:0005524	UF	ATP binding-
OIFEMJME_00106	CDS	819				hypothetical protein			
OIFEMJME_00107	CDS	459				hypothetical protein			
OIFEMJME_00108	CDS	582	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase	GO:0008653	RP	lipopolysaccharide metabolic process
OIFEMJME_00109	CDS	1200				hypothetical protein			
OIFEMJME_00110	CDS	825				hypothetical protein			
OIFEMJME_00111	CDS	1155	xerC_2			Tyrosine recombinase XerC	GO:0015074	UP	DNA integration-
OIFEMJME_00112	CDS	99				hypothetical protein			
OIFEMJME_00113	CDS	1371				hypothetical protein			
OIFEMJME_00114	CDS	657				hypothetical protein			
OIFEMJME_00115	CDS	561				hypothetical protein			
OIFEMJME_00116	CDS	615				hypothetical protein			
OIFEMJME_00117	CDS	1098				hypothetical protein			
OIFEMJME_00118	CDS	1554				hypothetical protein			
OIFEMJME_00119	CDS	453				hypothetical protein			
OIFEMJME_00120	CDS	1296				hypothetical protein			
OIFEMJME_00121	CDS	1683				hypothetical protein			
OIFEMJME_00122	CDS	438				hypothetical protein			
OIFEMJME_00123	CDS	1068				hypothetical protein			
OIFEMJME_00124	CDS	591				hypothetical protein			
OIFEMJME_00125	CDS	453				hypothetical protein			
OIFEMJME_00126	CDS	255				hypothetical protein			
OIFEMJME_00127	CDS	567				hypothetical protein			
OIFEMJME_00128	CDS	684				hypothetical protein			
OIFEMJME_00129	CDS	534	rfaH			Transcription antitermination protein RfaH	GO:0003677	RF	DNA binding-
OIFEMJME_00130	CDS	177				hypothetical protein			
