locus_tag	ftype	length_bp	gene	EC_number	COG	product	GO ID	Type	Function
GADIBNOC_00053	CDS	678	tetR			Tetracycline repressor protein class A from transposon 1721	GO:0045892	RP	negative regulation of transcription, DNA-templated-
GADIBNOC_00054	CDS	1200	tetA			Tetracycline resistance protein, class C	GO:0006811	RP	ion transport-
GADIBNOC_00055	CDS	885				hypothetical protein			
GADIBNOC_00056	CDS	1146				Tn3 family transposase TnAs1			
GADIBNOC_00057	CDS	861	bla	3.5.2.6		Beta-lactamase TEM	GO:0030655	RP	
GADIBNOC_00058	CDS	558	tnpR			Transposon Tn3 resolvase	GO:0015074	RP	DNA integration-
GADIBNOC_00059	CDS	3135				Tn3 family transposase Tn2			
GADIBNOC_00060	CDS	576				hypothetical protein			
GADIBNOC_00061	CDS	219				hypothetical protein			
GADIBNOC_00062	CDS	336				hypothetical protein			
GADIBNOC_00063	CDS	1881	cia			Colicin-Ia	GO:0019835	UP	cytolysis-
GADIBNOC_00064	CDS	849	dinG	3.1.-.-		3'-5' exonuclease DinG	GO:0006260	RP	DNA replication
GADIBNOC_00065	CDS	261				hypothetical protein			
GADIBNOC_00066	CDS	270				hypothetical protein			
GADIBNOC_00067	CDS	858				hypothetical protein			
GADIBNOC_00068	CDS	261				hypothetical protein			
GADIBNOC_00069	CDS	591				hypothetical protein			
GADIBNOC_00070	CDS	210	hha			Hemolysin expression-modulating protein Hha	GO:1900191	RP	negative regulation of single-species biofilm formation-
GADIBNOC_00071	CDS	462	yhcR	3.1.31.-	COG0737	Endonuclease YhcR	GO:0009166	UP	nucleotide catabolic process-
GADIBNOC_00072	CDS	213				hypothetical protein			
GADIBNOC_00073	CDS	561	finO			Fertility inhibition protein	GO:0000746	RP	conjugation
GADIBNOC_00074	CDS	861	aidA			Quorum-quenching protein AidA	GO:0016787	UF	hydrolase activity-
GADIBNOC_00075	CDS	747				hypothetical protein			
GADIBNOC_00076	CDS	5271	traI			Multifunctional conjugation protein TraI	GO:0000746	RP	conjugation
GADIBNOC_00077	CDS	2154	traD			Coupling protein TraD	GO:0000746	RP	conjugation
GADIBNOC_00078	CDS	732	ylpA			Lipoprotein YlpA	GO:0046999	UP	regulation of conjugation
GADIBNOC_00079	CDS	510	traS			Protein TraS	GO:0000746	UP	conjugation
GADIBNOC_00080	CDS	2826				hypothetical protein			
GADIBNOC_00081	CDS	1377				hypothetical protein			
GADIBNOC_00082	CDS	303				hypothetical protein			
GADIBNOC_00083	CDS	546				hypothetical protein			
GADIBNOC_00084	CDS	285	traQ			Protein TraQ	GO:0016021	UC	integral component of membrane-
GADIBNOC_00085	CDS	348				hypothetical protein			
GADIBNOC_00086	CDS	744				hypothetical protein			
GADIBNOC_00087	CDS	258				hypothetical protein			
GADIBNOC_00088	CDS	1809	traN			Mating pair stabilization protein TraN	GO:0009116	UP	nucleoside metabolic process
GADIBNOC_00089	CDS	639				hypothetical protein			
GADIBNOC_00090	CDS	993				hypothetical protein			
GADIBNOC_00091	CDS	633				hypothetical protein			
GADIBNOC_00092	CDS	387				hypothetical protein			
GADIBNOC_00093	CDS	2628	traC			Protein TraC	GO:0000746	RP	conjugation
GADIBNOC_00094	CDS	222	traR			Protein TraR	GO:0000746	RP	conjugation
GADIBNOC_00095	CDS	516	traV			Protein TraV	GO:0000746	UP	conjugation
GADIBNOC_00096	CDS	252				hypothetical protein			
GADIBNOC_00097	CDS	198				hypothetical protein			
GADIBNOC_00098	CDS	591				hypothetical protein			
GADIBNOC_00099	CDS	1428				hypothetical protein			
GADIBNOC_00100	CDS	729				hypothetical protein			
GADIBNOC_00101	CDS	567				hypothetical protein			
GADIBNOC_00102	CDS	312				hypothetical protein			
GADIBNOC_00103	CDS	366	traA			Pilin	GO:0000746	RP	conjugation
GADIBNOC_00104	CDS	396	traY			Relaxosome protein TraY	GO:0000746	RP	conjugation
GADIBNOC_00105	CDS	690	traJ			Protein TraJ	GO:0000746	RP	conjugation
GADIBNOC_00106	CDS	384	traM			Relaxosome protein TraM	GO:0000746	RP	conjugation
GADIBNOC_00107	CDS	510				hypothetical protein			
GADIBNOC_00108	CDS	822				hypothetical protein			
GADIBNOC_00109	CDS	288				hypothetical protein			
GADIBNOC_00110	CDS	216	flmC			Protein FlmC			
GADIBNOC_00111	CDS	720				hypothetical protein			
GADIBNOC_00112	CDS	435	psiB			Protein PsiB			
GADIBNOC_00113	CDS	1959	noc			Nucleoid occlusion protein			
GADIBNOC_00114	CDS	234				hypothetical protein			
GADIBNOC_00115	CDS	864				Single-stranded DNA-binding protein			
GADIBNOC_00116	CDS	564				hypothetical protein			
GADIBNOC_00117	CDS	1362				hypothetical protein			
GADIBNOC_00118	CDS	231				hypothetical protein			
GADIBNOC_00119	CDS	258				hypothetical protein			
GADIBNOC_00120	CDS	183				hypothetical protein			
GADIBNOC_00121	CDS	372				hypothetical protein			
GADIBNOC_00122	CDS	426	klcA			Antirestriction protein KlcA			
GADIBNOC_00123	CDS	972				IS110 family transposase ISEc32			
GADIBNOC_00124	CDS	213				hypothetical protein			
GADIBNOC_00125	CDS	576				hypothetical protein			
GADIBNOC_00126	CDS	339				hypothetical protein			
GADIBNOC_00127	CDS	972	sopB			Protein SopB	GO:0005576	RC	extracellular region-
GADIBNOC_00128	CDS	1167				hypothetical protein			
GADIBNOC_00129	CDS	2199	iutA			Ferric aerobactin receptor	GO:0019271	UP	aerobactin transport-
GADIBNOC_00130	CDS	1278	iucD	1.14.13.59	COG3486	L-lysine N6-monooxygenase	GO:0019270	UP	aerobactin biosynthetic process-
GADIBNOC_00131	CDS	1743	iucC	6.3.2.39	COG4264	Aerobactin synthase	GO:0019270	UP	aerobactin biosynthetic process-
GADIBNOC_00132	CDS	948	iucB	2.3.1.102		N(6)-hydroxylysine O-acetyltransferase	GO:0019270	UP	aerobactin biosynthetic process-
GADIBNOC_00133	CDS	1725	iucA	6.3.2.38		N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase	GO:0019270	UP	aerobactin biosynthetic process-
GADIBNOC_00134	CDS	1194				hypothetical protein			
GADIBNOC_00135	CDS	381	crcB		COG0239	Putative fluoride ion transporter CrcB	GO:0005887	RC	integral component of plasma membrane-
GADIBNOC_00136	CDS	216				hypothetical protein			
GADIBNOC_00137	CDS	435	eno	4.2.1.11	COG0148	Enolase	GO:0006096	RP	glycolytic process-
GADIBNOC_00138	CDS	858	mntB_1			Manganese transport system membrane protein MntB	GO:0043190	UC	ATP-binding cassette (ABC) transporter complex-
GADIBNOC_00139	CDS	858	mntB_2			Manganese transport system membrane protein MntB	GO:0043190	UC	ATP-binding cassette (ABC) transporter complex-
GADIBNOC_00140	CDS	828	mntB_3		COG1121	Manganese transport system ATP-binding protein MntB	GO:0043190	UC	ATP-binding cassette (ABC) transporter complex-
GADIBNOC_00141	CDS	915			COG0803	putative periplasmic iron-binding protein	GO:0007155	RP	cell adhesion-
GADIBNOC_00142	CDS	390	umuC		COG0389	Protein UmuC	GO:0042276	UP	error-prone translesion synthesis-
GADIBNOC_00143	CDS	333				hypothetical protein			
