locus_tag	ftype	length_bp	gene	EC_number	COG	product	GO ID	Type	Function
ACHBFCDE_00048	CDS	1347				hypothetical protein			
ACHBFCDE_00049	CDS	348	traB_2			Protein TraB	GO:0016021	UC	integral component of membrane-
ACHBFCDE_00050	CDS	720				hypothetical protein			
ACHBFCDE_00051	CDS	528				hypothetical protein			
ACHBFCDE_00052	CDS	504				hypothetical protein			
ACHBFCDE_00053	CDS	1077	korB			Transcriptional repressor protein KorB	GO:0045892	RP	negative regulation of transcription, DNA-templated-
ACHBFCDE_00054	CDS	780	soj	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj	GO:0042174	RP	negative regulation of sporulation resulting in formation of a cellular spore-
ACHBFCDE_00055	CDS	315	trfB			TrfB transcriptional repressor protein	GO:0003677	UF	DNA binding-
ACHBFCDE_00056	CDS	954				hypothetical protein			
ACHBFCDE_00057	CDS	1137				TelA-like protein			
ACHBFCDE_00058	CDS	774				hypothetical protein			
ACHBFCDE_00059	CDS	315				hypothetical protein			
ACHBFCDE_00060	CDS	324				hypothetical protein			
ACHBFCDE_00061	CDS	435				ISL3 family transposase ISStma11			
ACHBFCDE_00062	CDS	351	merT			Mercuric transport protein MerT	GO:0016021	RC	integral component of membrane-
ACHBFCDE_00063	CDS	276	merP			Mercuric transport protein periplasmic component	GO:0042597	RC	periplasmic space-
ACHBFCDE_00064	CDS	462	merC			Mercuric transport protein MerC	GO:0016021	UC	integral component of membrane-
ACHBFCDE_00065	CDS	1695	merA	1.16.1.1		Mercuric reductase	GO:0045454	RP	cell redox homeostasis-
ACHBFCDE_00066	CDS	363				hypothetical protein			
ACHBFCDE_00067	CDS	237				hypothetical protein			
ACHBFCDE_00068	CDS	720			COG2200	putative signaling protein	GO:0071732	RP	cellular response to nitric oxide-
ACHBFCDE_00069	CDS	1545				IS3 family transposase IS1353			
ACHBFCDE_00070	CDS	1515				hypothetical protein			
ACHBFCDE_00071	CDS	786				IS21 family transposase IS1326			
ACHBFCDE_00072	CDS	501				hypothetical protein			
ACHBFCDE_00073	CDS	840	folP	2.5.1.15	COG0294	Dihydropteroate synthase	GO:0046656	RP	folic acid biosynthetic process-
ACHBFCDE_00074	CDS	348	emrE		COG2076	Multidrug transporter EmrE	GO:0042221	UP	response to chemical-
ACHBFCDE_00075	CDS	780	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase	GO:0046677	UP	
ACHBFCDE_00076	CDS	1014	xerC			Tyrosine recombinase XerC	GO:0007049	RP	cell cycle-
ACHBFCDE_00077	CDS	351				hypothetical protein			
ACHBFCDE_00078	CDS	561	hin		COG1961	DNA-invertase hin	GO:0015074	UP	DNA integration-
ACHBFCDE_00079	CDS	2967				Tn3 family transposase TnAs3			
ACHBFCDE_00080	CDS	231				hypothetical protein			
ACHBFCDE_00081	CDS	216				hypothetical protein			
ACHBFCDE_00082	CDS	234				hypothetical protein			
ACHBFCDE_00083	CDS	258				hypothetical protein			
ACHBFCDE_00084	CDS	1386	klcB			Protein KlcB	GO:0003677	UF	DNA binding-
ACHBFCDE_00085	CDS	441	klcA			Antirestriction protein KlcA			
ACHBFCDE_00086	CDS	2985				Tn3 family transposase ISSba14			
